name,n_test,LR_MAE,LR_RMSE,LR_R2,RF_MAE,RF_RMSE,RF_R2
NLSN,249,0.4193254630117333,0.5540350516272848,0.9485767388102628,0.4238584440017833,0.5597607328150304,0.9475083782079288
EXPD,249,0.4199205047082121,0.642759631043746,0.9703936008592043,0.42538998276024315,0.6476343353438838,0.969942826707822
M,249,0.43458523549333167,0.6537278695546295,0.9710737603410033,0.43371676448740376,0.6523606604141173,0.9711946267303637
ZTS,249,0.4411017424533302,0.6404808372655112,0.9915569589842933,0.4351670104817449,0.6366665990782743,0.9916572207765976
AOS,249,0.42947979364991845,0.5843926701979244,0.9837740877063654,0.4368702590415493,0.592821468182369,0.9833026539044118
TPR,249,0.43643214909203354,0.7774044241092884,0.9457051870433909,0.43741505391875474,0.7781124012503318,0.9456062501488924
RRC,249,0.4329542427229115,0.5493831421802468,0.9859120326500445,0.44020836203091573,0.5576770054778482,0.9854834587012538
MNST,249,0.43988547059412125,0.6756329465872004,0.9904543918927752,0.44082541595544383,0.6813731403022748,0.9902915034369062
TMK,249,0.43622765950294734,0.6339403484399901,0.9866906634867253,0.442348820941388,0.6402911162341735,0.9864226638680206
PDCO,249,0.4438115519531595,0.6392434568772897,0.9756459973414595,0.4434423391480252,0.641098914391645,0.9755044131063546
NBL,249,0.44217202406445605,0.6043564283777164,0.9713232460907384,0.44463517719114615,0.6126251532011763,0.9705331748704005
NDAQ,249,0.44159314563716284,0.6286607147169682,0.9738726419537224,0.4456707711123354,0.6331948494648693,0.9734944024172765
YUM,249,0.443292898491786,0.6764276986335429,0.9883228144160421,0.4468108937777519,0.6862561027257189,0.9879810132704597
XYL,249,0.44524486490907905,0.6394653429478505,0.9933147608596298,0.4482338636240389,0.6400965233319189,0.9933015570970929
GRMN,249,0.4449345416448734,0.6331100919241361,0.9788780943729419,0.45065713312769445,0.632578743476771,0.9789135333347206
BF.B,249,0.45456905753261784,0.7242165041614841,0.9898920576882557,0.45380811425729894,0.7241411033742614,0.9898941623272088
SCHW,249,0.4500256456195609,0.626268939019239,0.9825566251540534,0.4538125731278686,0.62774099521892,0.9824745268593984
